DIGNIDAD_CODIGO;DIGNIDAD_NOMBRE;PROVINCIA_CODIGO;PROVINCIA_NOMBRE;CIRCUNSCRIPCION_CODIGO_ORIGINAL;CIRCUNSCRIPCION_NOMBRE;CANTON_CODIGO;CANTON_NOMBRE;PARROQUIA_CODIGO;PARROQUIA_NOMBRE;JUNTA_SEXO;CANDIDATO_CODIGO;VOTOS_EN_BLANCO;VOTOS_NULOS;ELECTORES_REGISTRO;ELECTORES_RESULTADOS;SUFRAGANTES;CANDIDATO_VOTOS
1;1;1;1;0;10;260;260;2570;2570;M;16;11;120;2170;2170;1756;842
1;1;1;1;0;10;260;260;2570;2570;M;502;11;120;2170;2170;1756;783
1;1;1;1;0;10;260;260;2595;2595;F;16;10;80;1525;1525;848;199
1;1;1;1;0;10;260;260;2595;2595;F;502;10;80;1525;1525;848;559
1;1;1;1;0;10;260;260;2595;2595;M;16;2;55;1435;1435;631;182
1;1;1;1;0;10;260;260;2595;2595;M;502;2;55;1435;1435;631;392
1;1;1;1;0;10;260;260;2680;2680;F;16;14;100;2282;2282;1903;728
1;1;1;1;0;10;260;260;2680;2680;F;502;14;100;2282;2282;1903;1061
1;1;1;1;0;10;260;260;2680;2680;M;16;5;86;2067;2067;1554;661
1;1;1;1;0;10;260;260;2680;2680;M;502;5;86;2067;2067;1554;802
1;1;1;1;0;10;260;260;3105;3105;F;16;46;195;3055;3055;2621;979
1;1;1;1;0;10;260;260;3105;3105;F;502;46;195;3055;3055;2621;1401
1;1;1;1;0;10;260;260;3105;3105;M;16;21;134;2614;2614;2087;885
1;1;1;1;0;10;260;260;3105;3105;M;502;21;134;2614;2614;2087;1047
1;1;1;1;0;10;260;260;3165;3165;F;16;49;462;8297;8297;7016;2637
1;1;1;1;0;10;260;260;3165;3165;F;502;49;462;8297;8297;7016;3868
1;1;1;1;0;10;260;260;3165;3165;M;16;35;410;8025;8029;6335;2627
1;1;1;1;0;10;260;260;3165;3165;M;502;35;410;8025;8029;6335;3261
1;1;1;1;0;10;260;260;3460;3460;F;16;27;255;4232;4232;3539;1298
1;1;1;1;0;10;260;260;3460;3460;F;502;27;255;4232;4232;3539;1959
1;1;1;1;0;10;260;260;3460;3460;M;16;14;171;4080;4081;3125;1259
1;1;1;1;0;10;260;260;3460;3460;M;502;14;171;4080;4081;3125;1681
1;1;1;1;0;10;260;260;3685;3685;F;16;32;186;2740;2740;2413;707
1;1;1;1;0;10;260;260;3685;3685;F;502;32;186;2740;2740;2413;1488
1;1;1;1;0;10;260;260;3685;3685;M;16;15;146;2461;2461;2033;762
1;1;1;1;0;10;260;260;3685;3685;M;502;15;146;2461;2461;2033;1110
1;1;1;1;0;10;260;260;3795;3795;F;16;29;362;5570;5571;4702;1627
1;1;1;1;0;10;260;260;3795;3795;F;502;29;362;5570;5571;4702;2683
1;1;1;1;0;10;260;260;3795;3795;M;16;31;309;5374;5374;4111;1644
1;1;1;1;0;10;260;260;3795;3795;M;502;31;309;5374;5374;4111;2127
1;1;1;1;0;10;260;260;3850;3850;F;16;16;175;2282;2282;1617;385
1;1;1;1;0;10;260;260;3850;3850;F;502;16;175;2282;2282;1617;1041
1;1;1;1;0;10;260;260;3850;3850;M;16;7;101;1995;1996;1233;339
